rank,domain,subclass,latency_ms,speed,http_status,quality_score,quality_tier,effort,official,nsfw,ecosystem_count,ecosystems,source_names
9,mhgui.com,A-bot-blocked (alive),1186,mid,403,38,T3,to-build,,0,1,mangareader,mhg
10,baozimhcn.com,A-bot-blocked (alive),1325,slow,403,48,T1,to-build,,0,2,cimoc|mangareader,BAOZIMH|BaoziManHua|bzm
20,happymh.com,C-proxy-or-gateway-error (retest),11,fast,502,56,T1,existing,,0,3,aidoku|mangareader|venera,happy|zh.happymh|嗨皮漫画
29,manhuagui.com,C-timeout (retest),0,,0,56,T1,existing,,0,3,mangareader|mihon|venera,mhgm|漫画柜
30,nhentai.net,C-timeout (retest),0,,0,56,T1,existing,,0,3,aidoku|mangareader|venera,multi.nhentai|nh|nhentai
49,mangabz.com,C-timeout (retest),0,,0,38,T3,existing,,0,5,aidoku|cimoc|mangareader|mihon|venera,MangaBZManHua|Mangabz|mbz|zh.mangabz
50,mangacopy.com,C-timeout (retest),0,,0,38,T3,to-build,,0,1,mangareader,copy
58,picacomic.com,C-timeout (retest),0,,0,38,T3,existing,,0,1,mangareader,pica
63,18comic.vip,C-timeout (retest),0,,0,36,T3,existing,,1,2,mangareader|mihon,jmc|禁漫天堂
66,rouman5.com,C-timeout (retest),0,,0,36,T3,to-build,,1,2,mangareader|mihon,rm5|肉漫屋
96,idmzj.com,D-http-error (possibly redesigned),1003,mid,404,63,T1,to-build,DMZJ (Dongman Zhijia),0,1,mangareader,dmzj
