rank,domain,subclass,latency_ms,speed,http_status,quality_score,quality_tier,effort,official,nsfw,ecosystem_count,ecosystems,source_names
2,globalcomix.com,A-bot-blocked (alive),375,fast,403,38,T2,to-build,,0,1,mihon,GlobalComix
3,mangadot.net,A-bot-blocked (alive),449,mid,403,48,T1,to-build,,0,2,aidoku|mihon,MangaDot|multi.mangadotnet
4,kagane.to,A-bot-blocked (alive),582,mid,403,38,T2,to-build,,0,1,mihon,Kagane
5,ykmh.net,A-bot-blocked (alive),812,mid,403,56,T1,existing,,0,3,cimoc|mihon|venera,YouKuManHua|优酷漫画|优酷漫画 (修复版)
6,mycomic.com,A-bot-blocked (alive),834,mid,403,62,T1,existing,,0,4,aidoku|cimoc|mihon|venera,MYCOMIC|MyComic|zh.mycomic
7,xcomic.me,A-bot-blocked (alive),836,mid,403,48,T2,to-build,,0,2,aidoku|mihon,XCOMIC|multi.xcomic
11,8comic.com,A-bot-blocked (alive),1455,slow,403,38,T2,to-build,,0,1,mihon,無限動漫
13,baozimh.com,A-bot-blocked (alive),5791,slow,403,56,T1,existing,,0,3,aidoku|legado|mihon,zh.baozimanhua|包子漫画
19,yidan9.club,C-proxy-or-gateway-error (retest),2,fast,502,26,T3,to-build,,1,1,mihon,一耽女孩
21,mhua5.com,C-proxy-or-gateway-error (retest),11,fast,502,48,T1,to-build,,0,2,cimoc|mihon,MANHUAWU|漫画屋
28,hentaihand.com,C-proxy-or-gateway-error (retest),10022,slow,502,26,T3,to-build,,1,1,mihon,HentaiHand
29,manhuagui.com,C-timeout (retest),0,,0,56,T1,existing,,0,3,mangareader|mihon|venera,mhgm|漫画柜
32,18mh.org,C-timeout (retest),0,,0,38,T2,existing,,0,1,mihon,18漫画
41,comic.pixiv.net,C-timeout (retest),0,,0,38,T2,existing,,0,1,mihon,Pixivコミック
45,hentaiclub.net,C-timeout (retest),0,,0,38,T2,to-build,,0,1,mihon,绅士会所
49,mangabz.com,C-timeout (retest),0,,0,38,T3,existing,,0,5,aidoku|cimoc|mangareader|mihon|venera,MangaBZManHua|Mangabz|mbz|zh.mangabz
51,mangaz.com,C-timeout (retest),0,,0,38,T3,to-build,,0,1,mihon,マンガ図書館Z
52,manwa.me,C-timeout (retest),0,,0,38,T3,to-build,,0,1,mihon,漫蛙
59,pixiv.net,C-timeout (retest),0,,0,38,T3,existing,,0,1,mihon,Pixiv
60,toptoon.net,C-timeout (retest),0,,0,38,T3,to-build,,0,1,mihon,TOPTOON頂通
63,18comic.vip,C-timeout (retest),0,,0,36,T3,existing,,1,2,mangareader|mihon,jmc|禁漫天堂
64,cosplaytele.com,C-timeout (retest),0,,0,36,T3,existing,,1,2,mihon|venera,CosplayTele
65,jcomic.net,C-timeout (retest),0,,0,36,T3,existing,,1,2,mihon|venera,JComic|jcomic.net
66,rouman5.com,C-timeout (retest),0,,0,36,T3,to-build,,1,2,mangareader|mihon,rm5|肉漫屋
67,akuma.moe,C-timeout (retest),0,,0,26,T3,to-build,,1,1,mihon,Akuma
68,asmhentai.com,C-timeout (retest),0,,0,26,T3,to-build,,1,1,mihon,AsmHentai
69,boylove.cc,C-timeout (retest),0,,0,26,T3,to-build,,1,1,mihon,香香腐宅
70,cartoon18.com,C-timeout (retest),0,,0,26,T3,to-build,,1,1,mihon,Cartoon18
71,en.xchina.co,C-timeout (retest),0,,0,26,T3,to-build,,1,1,mihon,小黄书
72,es.xchina.co,C-timeout (retest),0,,0,26,T3,to-build,,1,1,mihon,小黄书
73,global.toomics.com,C-timeout (retest),0,,0,26,T3,to-build,,1,1,mihon,Toomics (Only free chapters)
74,hanimeone.me,C-timeout (retest),0,,0,26,T3,to-build,,1,1,mihon,Hanime1.me
75,hanman18.com,C-timeout (retest),0,,0,26,T3,to-build,,1,1,mihon,HANMAN18
76,hentaifox.com,C-timeout (retest),0,,0,26,T3,to-build,,1,1,mihon,HentaiFox
77,kr.xchina.co,C-timeout (retest),0,,0,26,T3,to-build,,1,1,mihon,小黄书
78,luscious.net,C-timeout (retest),0,,0,26,T3,to-build,,1,1,mihon,Luscious
79,manhuabika.com,C-timeout (retest),0,,0,26,T3,to-build,,1,1,mihon,哔咔漫画
80,myreadingmanga.info,C-timeout (retest),0,,0,26,T3,to-build,,1,1,mihon,MyReadingManga
81,nhentai.com,C-timeout (retest),0,,0,26,T3,existing,,1,1,mihon,nHentai.com (unoriginal)
82,nhentai.to,C-timeout (retest),0,,0,26,T3,existing,,1,1,mihon,NHentai.to
83,nhentai.xxx,C-timeout (retest),0,,0,26,T3,existing,,1,1,mihon,NHentai.xxx
84,pornpics.com,C-timeout (retest),0,,0,26,T3,to-build,,1,1,mihon,PornPics
85,simply-hentai.com,C-timeout (retest),0,,0,26,T3,to-build,,1,1,mihon,Simply Hentai
86,tw.xchina.co,C-timeout (retest),0,,0,26,T3,to-build,,1,1,mihon,小黄书
87,xchina.co,C-timeout (retest),0,,0,26,T3,to-build,,1,1,mihon,小黄书
91,uhkvqrxmcapgtpspglrp.moedot.net,D-http-error (possibly redesigned),317,fast,404,38,T3,to-build,,0,1,mihon,花火漫画
97,api.noyteam.online,D-http-error (possibly redesigned),1550,slow,404,38,T2,to-build,,0,1,mihon,NoyAcg
102,3hentai.net,E-other-failure,0,,0,26,T3,to-build,,1,1,mihon,3Hentai
